ORGANIZATION_ID,CONVERTED,CONVERTED_AT,TRIAL_START,TRIAL_END,days_to_convert,trial_start_month,total_events,unique_activity_count,active_days,Absence.Request.Approved,Absence.Request.Created,Absence.Request.Rejected,Break.Activate.Finished,Break.Activate.Started,Communication.Message.Created,Integration.Xero.PayrollExport.Synced,Mobile.Schedule.Loaded,PunchClock.Entry.Edited,PunchClock.PunchedIn,PunchClock.PunchedOut,PunchClockEndNote.Add.Completed,PunchClockStartNote.Add.Completed,Revenue.Budgets.Created,Scheduling.Availability.Set,Scheduling.OpenShiftRequest.Approved,Scheduling.OpenShiftRequest.Created,Scheduling.Shift.Approved,Scheduling.Shift.AssignmentChanged,Scheduling.Shift.Created,Scheduling.ShiftHandover.Accepted,Scheduling.ShiftHandover.Created,Scheduling.ShiftSwap.Accepted,Scheduling.ShiftSwap.Created,Scheduling.Template.ApplyModal.Applied,Shift.View.Opened,ShiftDetails.View.Opened,Timesheets.BulkApprove.Confirmed
0040dd9ab132b92d5d04bc3acf14d2e2,False,,2024-03-27 10:11:39,2024-04-26 10:11:39,,3,1004,14,11,3,3,1,0,0,9,0,11,1,1,0,0,1,0,1,0,0,2,384,576,0,0,0,0,10,0,1,0
00456fd86311b6095ad05f7e31758f0d,False,,2024-01-11 13:44:36,2024-02-10 13:44:36,,1,6,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
007d48a2bc006e6eac0348c788d26dfd,False,,2024-03-16 22:58:07,2024-04-15 22:58:07,,3,5,2,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00d6461845d0042b929379c263e9edef,False,,2024-03-05 02:57:05,2024-04-04 02:57:05,,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00d812389a3cffdbf014ba194cbe922e,False,,2024-03-13 22:13:10,2024-04-12 22:13:10,,3,586,6,20,0,0,0,0,0,1,0,111,0,3,0,0,0,0,0,0,3,0,311,157,0,0,0,0,0,0,0,0
00f00e783ff21fd62404d10ced5cd45f,False,,2024-03-25 20:43:51,2024-04-24 20:43:51,,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
014d8cdf08111d7442887a4704b47caa,False,,2024-02-11 13:44:21,2024-03-12 13:44:21,,2,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0
014f83e0deae3ac42041a126f1022974,True,2024-04-12 10:48:32,2024-03-19 10:46:04,2024-04-18 10:46:04,24,3,166,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,8,97,0,0,0,0,0,0,0,0
01529adf420e4435846ac4603f2742de,False,,2024-03-15 22:25:28,2024-04-14 22:25:28,,3,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01546aab771c035a82fad535398ea828,False,,2024-03-05 13:46:31,2024-04-04 13:46:31,,3,52,11,2,1,1,0,0,0,4,0,11,0,2,0,0,0,0,5,0,2,0,7,17,0,0,0,1,1,0,0,0
015f38565a692a85e2824e94926a12ef,True,2024-02-24 11:39:05,2024-01-31 11:25:26,2024-03-01 11:25:26,24,1,2122,10,28,5,9,3,0,0,0,0,1307,0,167,0,0,0,0,0,0,1,110,67,448,0,0,0,0,5,0,0,0
